match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
3920414,2024-01-23,22:00:00.000,Africa - African Cup of Nations,2023,Angola,Burkina Faso,2,0,available,unscheduled,2024-02-11T20:18:49.215191,,3,Group Stage,Stade Charles Konan Banny de Yamoussoukro,Jean Jacques Ndala Ngambo,Pedro Valdemar Soares Gonçalves,Hubert Velud,1.1.0,2,2
3920413,2024-01-23,19:00:00.000,Africa - African Cup of Nations,2023,Gambia,Cameroon,2,3,available,unscheduled,2024-02-09T18:00:00.915208,,3,Group Stage,Stade de Bouaké,Bamlak Tessema Weyesa,Tom Saintfiet,Rigobert Song Bahanag,1.1.0,2,2
3920412,2024-01-23,19:00:00.000,Africa - African Cup of Nations,2023,Guinea,Senegal,0,2,available,unscheduled,2024-02-04T22:30:13.735664,,3,Group Stage,Stade Charles Konan Banny de Yamoussoukro,Pacifique Ndabihawenimana,Kaba Diawara,Aliou Cissé,1.1.0,2,2
3920411,2024-01-22,22:00:00.000,Africa - African Cup of Nations,2023,Cape Verde Islands,Egypt,2,2,available,unscheduled,2024-01-30T02:56:40.286450,,3,Group Stage,Stade Félix Houphouët-Boigny      ,Alhadi Allaou Mahamat,Pedro Leitão Brito,Rui Carlos Pinho da Vitória,1.1.0,2,2
3920410,2024-01-22,22:00:00.000,Africa - African Cup of Nations,2023,Mozambique,Ghana,2,2,available,unscheduled,2024-02-10T15:40:12.727481,,3,Group Stage,Stade Olympique Alassane Ouattara,Ibrahim Mutaz,Francisco Queriol Conde Júnior,Chris Hughton,1.1.0,2,2
3920409,2024-01-22,19:00:00.000,Africa - African Cup of Nations,2023,Guinea-Bissau,Nigeria,0,1,available,unscheduled,2024-01-25T10:28:41.450343,,3,Group Stage,Stade Félix Houphouët-Boigny      ,Bouchra Karboubi,Baciro Candé,José Vítor dos Santos Peseiro,1.1.0,2,2
3920408,2024-01-22,19:00:00.000,Africa - African Cup of Nations,2023,Equatorial Guinea,Côte d'Ivoire,4,0,available,unscheduled,2024-02-08T17:43:43.602435,,3,Group Stage,Stade Olympique Alassane Ouattara,Mahmood Ali Mahmood Ismail,Juan Micha Obiang Bicogo,Jean-Louis Gasset,1.1.0,2,2
3920407,2024-01-21,22:00:00.000,Africa - African Cup of Nations,2023,South Africa,Namibia,4,0,available,unscheduled,2024-02-03T16:31:10.429797,,2,Group Stage,Stade Amadou Gon Coulibaly,Youcef Gamouh,Hugo Henri Broos,Collin Benjamin,1.1.0,2,2
3920406,2024-01-21,19:00:00.000,Africa - African Cup of Nations,2023,Zambia,Tanzania,1,1,available,unscheduled,2024-02-03T23:34:41.626380,,2,Group Stage,Stade Laurent Pokou,Djindo Louis Houngnandande,Avraham Grant,Adel Amrouche,1.1.0,2,2
3920405,2024-01-21,16:00:00.000,Africa - African Cup of Nations,2023,Morocco,Congo DR,1,1,available,unscheduled,2024-01-27T07:43:22.494230,,2,Group Stage,Stade Laurent Pokou,Peter Waweru Kamaku,Walid Regragui,Sébastien Desabre,1.1.0,2,2
